year,disc,ring.width_mm
2008,T3SM18,0.266
2009,T3SM18,0.191
2010,T3SM18,0.175
2011,T3SM18,0.063
2012,T3SM18,0.217
2013,T3SM18,0.063
1991,T3SM30,0.12
1992,T3SM30,0.113
1993,T3SM30,0.217
1994,T3SM30,0.205
1995,T3SM30,0.174
1996,T3SM30,0.138
1997,T3SM30,0.162
1998,T3SM30,0.175
1999,T3SM30,0.141
2000,T3SM30,0.113
2001,T3SM30,0.173
2002,T3SM30,0.186
2003,T3SM30,0.151
2004,T3SM30,0.145
2005,T3SM30,0.044
2006,T3SM30,0.276
2007,T3SM30,0.368
2008,T3SM30,0.173
2009,T3SM30,0.169
2010,T3SM30,0.155
2011,T3SM30,0.159
2012,T3SM30,0.32
2013,T3SM30,0.153
1990,T3SM6,0.104
1991,T3SM6,0.245
1992,T3SM6,0.162
1993,T3SM6,0.238
1994,T3SM6,0.259
1995,T3SM6,0.381
1996,T3SM6,0.155
1997,T3SM6,0.222
1998,T3SM6,0.332
1999,T3SM6,0.361
2000,T3SM6,0.127
2001,T3SM6,0.322
2002,T3SM6,0.29
2003,T3SM6,0.197
2004,T3SM6,0.279
2005,T3SM6,0.051
2006,T3SM6,0.462
2007,T3SM6,0.409
2008,T3SM6,0.132
2009,T3SM6,0.292
2010,T3SM6,0.249
2011,T3SM6,0.279
2012,T3SM6,0.349
2013,T3SM6,0.221
1990,T4SF12,0.267
1991,T4SF12,0.441
1992,T4SF12,0.371
1993,T4SF12,0.445
1994,T4SF12,0.505
1995,T4SF12,0.419
1996,T4SF12,0.427
1997,T4SF12,0.461
1998,T4SF12,0.529
1999,T4SF12,0.342
2000,T4SF12,0.101
2001,T4SF12,0.277
2002,T4SF12,0.334
2003,T4SF12,0.301
2004,T4SF12,0.286
2005,T4SF12,0.111
2006,T4SF12,0.474
2007,T4SF12,0.279
2008,T4SF12,0.206
2009,T4SF12,0.239
2010,T4SF12,0.139
2011,T4SF12,0.13
2012,T4SF12,0.341
2013,T4SF12,0.254
1991,T4SF24,0.45
1992,T4SF24,0.168
1993,T4SF24,0.39
1994,T4SF24,0.314
1995,T4SF24,0.431
1996,T4SF24,0.195
1997,T4SF24,0.286
1998,T4SF24,0.479
1999,T4SF24,0.364
2000,T4SF24,0.245
2001,T4SF24,0.314
2002,T4SF24,0.315
2003,T4SF24,0.245
2004,T4SF24,0.157
2005,T4SF24,0.075
2006,T4SF24,0.39
2007,T4SF24,0.536
2008,T4SF24,0.361
2009,T4SF24,0.373
2010,T4SF24,0.36
2011,T4SF24,0.334
2012,T4SF24,0.594
2013,T4SF24,0.406
