SITE,SUBSITE,TRTMT,PLOT,YEAR,SPP,STATUS,TISSUE,X,Y,Hit Order,Abundance,Height
QHI,HE,CTL,2,1999,CETISL,LIVE,LEAF,3,7,NA,1,
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,3,8,NA,1,4.5
QHI,HE,CTL,2,1999,SALRET,STANDINGDEAD,STEM,3,8,NA,1,
QHI,HE,CTL,2,1999,THASUB,LIVE,LEAF,3,8,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,3,9,NA,1,2
QHI,HE,CTL,2,1999,CETISL,LIVE,LEAF,3,9,NA,1,
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,3,9,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,4,1,NA,1,8
QHI,HE,CTL,2,1999,XXXotherlichen,LIVE,LEAF,4,1,NA,1,
QHI,HE,CTL,2,1999,CETCUC,LIVE,LEAF,4,1,NA,1,
QHI,HE,CTL,2,1999,XXXotherlichen,LIVE,LEAF,4,2,NA,1,0
QHI,HE,CTL,2,1999,SALPUL,LIVE,STEM,4,2,NA,1,
QHI,HE,CTL,2,1999,XXXothermoss,LIVE,LEAF,4,2,NA,1,
QHI,HE,CTL,2,1999,XXXbareground,NA,NA,4,3,NA,1,0
QHI,HE,CTL,2,1999,XXXbareground,NA,NA,4,4,NA,1,0
QHI,HE,CTL,2,1999,PEDCAP,LIVE,LEAF,4,5,NA,1,4
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,4,5,NA,1,
QHI,HE,CTL,2,1999,XXXothermoss,LIVE,LEAF,4,5,NA,1,
QHI,HE,CTL,2,1999,DRYINT,LIVE,LEAF,4,6,NA,1,2
QHI,HE,CTL,2,1999,XXXotherherb,LIVE,LEAF,4,6,NA,1,
QHI,HE,CTL,2,1999,THASUB,LIVE,LEAF,4,7,NA,1,1.5
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,4,7,NA,1,
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,4,8,NA,1,0
QHI,HE,CTL,2,1999,THASUB,LIVE,LEAF,4,8,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,4,9,NA,1,5.5
QHI,HE,CTL,2,1999,CETCUC,LIVE,LEAF,4,9,NA,1,
QHI,HE,CTL,2,1999,CETCUC,LIVE,LEAF,5,1,NA,1,0
QHI,HE,CTL,2,1999,SALPUL,LIVE,STEM,5,1,NA,2,
