data,year,date,longitude,latitude,vegType,NDVI
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.597338557
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.552200615
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.610831201
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.530431807
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.60517472
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.482496023
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.575825036
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.559247971
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.557369649
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.500247419
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.593034863
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.630019903
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.605814278
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.619903624
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.604134679
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565168619
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.537750244
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.620676339
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.580844641
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.537074387
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.644651055
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.570413947
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.563542187
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.645226121
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.499780357
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.572802246
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565368354
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.709584653
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.643784642
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.528545022
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.538993478
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.575328112
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.569987655
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.557950914
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.624834657
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.589329243
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.573105216
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.59256506
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.55693996
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.512454748
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.603017509
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.522233546
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.538229704
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.593013704
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.573695779
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.662406862
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.564865112
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.524394631
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.548172414
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.534697115
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.528408945
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.52891916
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.622722685
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.615250349
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.596419573
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.63768512
